Link,Lane,Position,VehicleType,SpeedLimitType,SpeedLimitValue,TimeFrom,TimeTo
1,1,0.036089239,100,0,20,0,99999
1,1,0.036089239,200,0,20,0,99999
32,1,0.036089239,100,0,20,0,99999
32,1,0.036089239,200,0,20,0,99999
65,1,0.036089239,100,0,17.77777778,0,99999
65,1,0.036089239,200,0,17.77777778,0,99999
65,2,0.036089239,100,0,17.77777778,0,99999
65,2,0.036089239,200,0,17.77777778,0,99999
10,1,0.036089239,100,0,17.77777778,0,99999
10,1,0.036089239,200,0,17.77777778,0,99999
10,2,0.036089239,100,0,17.77777778,0,99999
10,2,0.036089239,200,0,17.77777778,0,99999
18,1,0.036089239,100,0,8.888888889,0,99999
18,1,0.036089239,200,0,8.888888889,0,99999
19,1,1.452343744,100,0,6.666666667,0,99999
19,1,1.452343744,200,0,6.666666667,0,99999
22,1,0.036089239,100,0,17.77777778,0,99999
22,1,0.036089239,200,0,17.77777778,0,99999
22,2,0.036089239,100,0,17.77777778,0,99999
22,2,0.036089239,200,0,17.77777778,0,99999
68,1,0.036089239,100,0,17.77777778,0,99999
68,1,0.036089239,200,0,17.77777778,0,99999
68,2,0.036089239,100,0,17.77777778,0,99999
68,2,0.036089239,200,0,17.77777778,0,99999
16,1,0.036089239,100,0,17.77777778,0,99999
16,1,0.036089239,200,0,17.77777778,0,99999
16,2,0.036089239,100,0,17.77777778,0,99999
16,2,0.036089239,200,0,17.77777778,0,99999
25,1,0.036089239,100,0,13.33333333,0,99999
25,1,0.036089239,200,0,13.33333333,0,99999
25,2,0.036089239,100,0,13.33333333,0,99999
25,2,0.036089239,200,0,13.33333333,0,99999
26,1,0.036089239,100,0,17.77777778,0,99999
26,1,0.036089239,200,0,17.77777778,0,99999
26,2,0.036089239,100,0,17.77777778,0,99999
26,2,0.036089239,200,0,17.77777778,0,99999
23,1,0.036089239,100,0,17.77777778,0,99999
23,1,0.036089239,200,0,17.77777778,0,99999
23,2,0.036089239,100,0,17.77777778,0,99999
23,2,0.036089239,200,0,17.77777778,0,99999
23,3,0.036089239,100,0,17.77777778,0,99999
23,3,0.036089239,200,0,17.77777778,0,99999
31,1,0.036089239,100,0,13.33333333,0,99999
31,1,0.036089239,200,0,13.33333333,0,99999
31,2,0.036089239,100,0,13.33333333,0,99999
31,2,0.036089239,200,0,13.33333333,0,99999
58,1,0.036089239,100,0,17.77777778,0,99999
58,1,0.036089239,200,0,17.77777778,0,99999
58,2,0.036089239,100,0,17.77777778,0,99999
58,2,0.036089239,200,0,17.77777778,0,99999
58,3,0.036089239,100,0,17.77777778,0,99999
58,3,0.036089239,200,0,17.77777778,0,99999
58,4,0.036089239,100,0,17.77777778,0,99999
58,4,0.036089239,200,0,17.77777778,0,99999
38,1,0.036089239,100,0,17.77777778,0,99999
38,1,0.036089239,200,0,17.77777778,0,99999
38,2,0.036089239,100,0,17.77777778,0,99999
38,2,0.036089239,200,0,17.77777778,0,99999
53,1,0.036089239,100,0,11.11111111,0,99999
53,1,0.036089239,200,0,11.11111111,0,99999
54,1,0,100,0,6.666666667,0,99999
54,1,0,200,0,6.666666667,0,99999
60,1,0.316724258,100,0,17.77777778,0,99999
60,1,0.316724258,200,0,17.77777778,0,99999
60,3,0.372000078,100,0,17.77777778,0,99999
60,3,0.372000078,200,0,17.77777778,0,99999
28,1,0.036089239,100,0,17.77777778,0,99999
28,1,0.036089239,200,0,17.77777778,0,99999
28,2,0.036089239,100,0,17.77777778,0,99999
28,2,0.036089239,200,0,17.77777778,0,99999
28,3,0.036089239,100,0,17.77777778,0,99999
28,3,0.036089239,200,0,17.77777778,0,99999
28,4,0.036089239,100,0,17.77777778,0,99999
28,4,0.036089239,200,0,17.77777778,0,99999
49,1,0.036089239,100,0,17.77777778,0,99999
49,1,0.036089239,200,0,17.77777778,0,99999
49,2,0.036089239,100,0,17.77777778,0,99999
49,2,0.036089239,200,0,17.77777778,0,99999
62,1,0.036089239,100,0,11.11111111,0,99999
62,1,0.036089239,200,0,11.11111111,0,99999
63,1,0.036089239,100,0,15.55555556,0,99999
63,1,0.036089239,200,0,15.55555556,0,99999
63,2,0.036089239,100,0,15.55555556,0,99999
63,2,0.036089239,200,0,15.55555556,0,99999
60,2,0.316724258,100,0,17.77777778,0,99999
60,2,0.316724258,200,0,17.77777778,0,99999
